Gas_Price_EUR_MWh,Carbon_Tax_EUR_tCO2,Spot_Volatility,Baseline_Cost_EUR,Optimized_Cost_EUR,Daily_Savings_EUR,Savings_Percent,Savings_EUR_per_Ton,CO2_Reduction_Tons,Annualized_Savings_EUR
25.0,50.0,0.8,100741.26,100163.55,577.71,0.57,0.53,16.64,210863.15
25.0,50.0,1.0,100741.26,99955.73,785.53,0.78,0.72,16.64,286718.4
25.0,50.0,1.2,100741.26,99747.91,993.35,0.99,0.91,16.64,362573.64
25.0,50.0,1.5,100741.26,99436.17,1305.09,1.3,1.19,16.64,476356.51
25.0,70.0,0.8,111786.94,110876.37,910.57,0.81,0.83,16.64,332359.31
25.0,70.0,1.0,111786.94,110668.55,1118.4,1.0,1.02,16.64,408214.55
25.0,70.0,1.2,111786.94,110460.72,1326.22,1.19,1.21,16.64,484069.8
25.0,70.0,1.5,111786.94,110148.99,1637.95,1.47,1.49,16.64,597852.66
25.0,85.0,0.8,120071.2,118910.98,1160.22,0.97,1.06,16.64,423481.43
25.0,85.0,1.0,120071.2,118703.16,1368.05,1.14,1.25,16.64,499336.67
25.0,85.0,1.2,120071.2,118495.34,1575.87,1.31,1.44,16.64,575191.91
25.0,85.0,1.5,120071.2,118183.6,1887.6,1.57,1.72,16.64,688974.78
25.0,110.0,0.8,133878.31,132150.95,1727.35,1.29,1.58,23.78,630483.2
25.0,110.0,1.0,133878.31,131985.24,1893.07,1.41,1.73,23.78,690970.1
25.0,110.0,1.2,133878.31,131819.45,2058.86,1.54,1.88,23.78,751482.63
25.0,110.0,1.5,133878.31,131546.69,2331.62,1.74,2.13,21.34,851039.71
25.0,140.0,0.8,150446.83,147994.49,2452.33,1.63,2.24,26.12,895102.2
25.0,140.0,1.0,150446.83,147840.46,2606.37,1.73,2.38,23.78,951323.5
25.0,140.0,1.2,150446.83,147674.71,2772.12,1.84,2.53,23.78,1011823.26
25.0,140.0,1.5,150446.83,147426.03,3020.8,2.01,2.76,23.78,1102592.06
35.0,50.0,0.8,126490.37,123425.07,3065.3,2.42,2.8,28.61,1118835.16
35.0,50.0,1.0,126490.37,123325.42,3164.95,2.5,2.89,26.11,1155206.56
35.0,50.0,1.2,126490.37,123183.04,3307.33,2.61,3.02,23.78,1207176.37
35.0,50.0,1.5,126490.37,122934.35,3556.01,2.81,3.24,23.78,1297945.17
35.0,70.0,0.8,137536.05,133859.7,3676.35,2.67,3.35,31.01,1341867.71
35.0,70.0,1.0,137536.05,133827.94,3708.1,2.7,3.38,28.61,1353458.28
35.0,70.0,1.2,137536.05,133723.84,3812.21,2.77,3.48,26.11,1391456.05
35.0,70.0,1.5,137536.05,133504.53,4031.52,2.93,3.68,23.78,1471505.59
35.0,85.0,0.8,145820.31,141668.44,4151.87,2.85,3.79,33.42,1515431.22
35.0,85.0,1.0,145820.31,141668.92,4151.39,2.85,3.79,31.01,1515258.58
35.0,85.0,1.2,145820.31,141612.43,4207.88,2.89,3.84,28.61,1535875.65
35.0,85.0,1.5,145820.31,141428.87,4391.44,3.01,4.01,26.11,1602874.65
