Timestamp,Spot_Price_EUR_MWh,Electrical_Demand_MW,Thermal_Demand_MWt,District_Heating_Capacity_MWt
2026-07-27 00:00:00,66.99,45.36,60.32,20.22
2026-07-27 00:15:00,64.45,45.31,58.13,19.51
2026-07-27 00:30:00,67.59,45.01,60.26,19.88
2026-07-27 00:45:00,71.09,44.72,60.58,19.7
2026-07-27 01:00:00,64.06,43.3,58.67,19.7
2026-07-27 01:15:00,64.06,44.5,60.23,20.95
2026-07-27 01:30:00,71.32,44.59,60.09,20.67
2026-07-27 01:45:00,68.07,44.04,58.29,19.96
2026-07-27 02:00:00,63.12,44.81,60.54,21.39
2026-07-27 02:15:00,67.17,45.48,60.84,21.09
2026-07-27 02:30:00,63.15,47.26,61.62,21.68
2026-07-27 02:45:00,63.14,45.21,61.58,21.74
2026-07-27 03:00:00,65.97,45.31,57.93,20.8
2026-07-27 03:15:00,57.35,44.91,58.59,21.26
2026-07-27 03:30:00,58.1,42.7,60.77,22.55
2026-07-27 03:45:00,62.76,44.97,60.77,22.71
2026-07-27 04:00:00,60.97,45.07,60.77,22.48
2026-07-27 04:15:00,66.31,47.96,65.78,22.88
2026-07-27 04:30:00,61.48,44.77,60.86,24.11
2026-07-27 04:45:00,59.6,45.36,61.7,22.92
2026-07-27 05:00:00,71.38,44.96,61.43,24.14
2026-07-27 05:15:00,65.12,43.6,60.98,23.86
2026-07-27 05:30:00,67.18,46.37,59.53,24.17
2026-07-27 05:45:00,62.7,45.9,61.14,25.55
2026-07-27 06:00:00,68.57,45.95,58.84,25.66
2026-07-27 06:15:00,74.68,43.91,59.64,25.98
2026-07-27 06:30:00,74.53,46.68,59.27,26.7
2026-07-27 06:45:00,87.07,43.32,60.12,25.99
2026-07-27 07:00:00,91.06,45.7,63.47,26.84
2026-07-27 07:15:00,101.3,47.63,57.2,26.36
2026-07-27 07:30:00,109.52,43.81,61.03,27.17
2026-07-27 07:45:00,128.3,44.32,57.58,27.11
2026-07-27 08:00:00,128.28,45.12,59.29,27.58
2026-07-27 08:15:00,129.03,44.4,61.63,28.25
2026-07-27 08:30:00,138.27,43.14,60.1,27.39
2026-07-27 08:45:00,128.34,45.08,58.38,29.97
2026-07-27 09:00:00,129.07,43.73,58.93,27.73
2026-07-27 09:15:00,112.85,45.57,61.02,27.79
2026-07-27 09:30:00,106.2,43.9,58.9,29.89
2026-07-27 09:45:00,102.47,46.86,60.32,29.79
2026-07-27 10:00:00,94.98,44.06,60.07,29.83
2026-07-27 10:15:00,83.73,44.61,59.02,29.99
2026-07-27 10:30:00,74.44,45.98,63.22,29.61
2026-07-27 10:45:00,66.2,43.52,60.95,29.02
2026-07-27 11:00:00,54.25,45.27,56.96,29.89
2026-07-27 11:15:00,49.8,46.57,60.28,29.36
2026-07-27 11:30:00,42.66,43.07,59.01,30.0
2026-07-27 11:45:00,39.63,45.22,61.28,29.87
2026-07-27 12:00:00,26.74,45.31,58.81,29.34
2026-07-27 12:15:00,7.71,45.94,59.83,29.73
2026-07-27 12:30:00,5.51,43.52,60.76,30.0
2026-07-27 12:45:00,-6.96,43.42,61.3,29.45
2026-07-27 13:00:00,-15.89,45.63,58.2,29.17
2026-07-27 13:15:00,-15.79,45.36,59.5,29.93
2026-07-27 13:30:00,-15.87,45.3,59.29,29.82
2026-07-27 13:45:00,-14.52,45.42,59.02,29.08
2026-07-27 14:00:00,-16.56,44.18,62.65,28.95
2026-07-27 14:15:00,-6.69,45.28,60.61,29.34
2026-07-27 14:30:00,5.44,45.35,58.11,27.81
2026-07-27 14:45:00,18.46,44.14,61.38,27.63
2026-07-27 15:00:00,23.04,47.24,63.18,27.96
2026-07-27 15:15:00,33.85,45.57,61.55,28.13
